None,coid,mdate,key3,district_id,district,tsign,tsign_fg,location,road_fg,coord_x,coord_y,land,build,berth,land_area,zoning,zoning_fg,ncity_z,ncity_z_fg,land_use,land_use_fg,rent_floor,rent_up_ll,rent_single,tot_floor,top_floor,bstate,bstate_fg,mainuse,mainuse_fg,matl,matl_fg,build_dd,room_age,build_area,room,hall,health,compart,mgt_com,furn,berth_tp,berth_tp_fg,berth_area,tot_prc,unit_prc,berth_prc,rmk,ann_date,abnorm_td,abnorm_loc,abnorm_prc
0,A,2020-01-08 00:00:00+00:00,RPRQMLOKJHPFFCA18CC,內湖區,114,土地,A,潭美段三小段511~540地號,,25.057973,121.587005,2,0,0,464.64,工業區,03,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,23.8,0.1,0.0,有民情風俗因素之交易。;,2020-03-04 00:00:00+00:00,,,
1,A,2020-04-06 00:00:00+00:00,RPUPMLRLMHPFFCA09CC,內湖區,114,土地,A,舊宗段31~60地號,,25.06513,121.579972,2,0,0,464.48,工業區,03,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,60.5,0.1,0.0,,2020-06-11 00:00:00+00:00,,,
2,A,2020-05-06 00:00:00+00:00,RPRPMLPLNHPFFCA68CC,中山區,104,土地,A,大佳段二小段1021~1050地號,,25.071549,121.547641,2,0,0,169.25,其他,99,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,10.0,0.1,0.0,未保存登記建物做營業使用,2020-07-11 00:00:00+00:00,,,
3,A,2020-10-15 00:00:00+00:00,RPUPMLSLIIPFFDA98CC,南港區,115,土地,A,中南段四小段271~300地號,,25.039476,121.62256,1,0,0,21.87,住宅區,01,,,,,,0,N,0,N,其他,99,,,,,,,0.0,3,0,0,Y,N,,,,0.0,1.5,0.1,0.0,,2020-12-11 00:00:00+00:00,,,
4,A,2021-01-19 00:00:00+00:00,RPWOMLNJKHGGFDA67CC,南港區,115,土地,A,向陽段1~30地號,,25.057579,121.599525,1,0,0,168.88,商業區,02,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,19.2,0.1,0.0,,2021-03-21 00:00:00+00:00,,,
5,A,2021-01-22 00:00:00+00:00,RPPRMLKLKHGGFDA17CC,信義區,110,土地,A,犁和段一小段331~360地號,,25.013749,121.56531,1,0,0,24.2,其他,99,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,1.2,0.0,0.0,,2021-04-01 00:00:00+00:00,,,
6,A,2021-06-04 00:00:00+00:00,RPUPMLLKOHGGFCA77CC,內湖區,114,土地,A,安康段5-12地號,,,,0,0,0,125.0,其他,99,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,9.0,0.1,0.0,部分出租,2021-08-05 00:00:00+00:00,,,
7,A,2021-10-13 00:00:00+00:00,RPTQMLTKIIGGFCA08CC,內湖區,114,土地,A,安康段11-4地號,,,,1,0,0,174.24,工業區,03,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,8.5,0.0,0.0,,2021-12-01 00:00:00+00:00,,,
8,A,2022-03-10 00:00:00+00:00,RPSSMLLKLHHGFCA67CC,內湖區,114,土地,A,安康段5-5地號,,,,1,0,0,282.95,工業區,03,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,20.0,0.1,0.0,,2022-05-01 00:00:00+00:00,,,
9,A,2022-06-02 00:00:00+00:00,RPURMLKLOHHGFCA08CC,中山區,104,土地,A,大佳段二小段647-2地號,,,,2,0,0,128.02,農業區,09,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,5.8,0.0,0.0,前兩個月有租金優惠。,2022-08-03 00:00:00+00:00,,,
10,A,2022-08-26 00:00:00+00:00,RPSNMLQKRHHGFCA28CC,內湖區,114,土地,A,舊宗段48-11地號,,,,1,0,0,311.97,工業區,03,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,11.5,0.0,0.0,,2022-11-01 00:00:00+00:00,,,
11,A,2022-10-26 00:00:00+00:00,RPXNMLLKJIHGFCA57CC,內湖區,114,土地,A,安康段9-5地號,,,,2,0,0,214.02,工業區,03,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,10.0,0.0,0.0,,2023-01-01 00:00:00+00:00,,,
12,B,2020-01-04 00:00:00+00:00,RPPOMLKKJHPFFDB57CC,豐原區,420,土地,A,安康段31~60地號,,24.246012,120.725892,3,0,0,32.21,住宅區,01,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,2.7,0.1,0.0,有未辦保存登記鐵棟乙棟,2020-02-21 00:00:00+00:00,,,
13,B,2020-01-04 00:00:00+00:00,RPSOMLKKJHPFFDB87CC,神岡區,429,土地,A,三角東段1231~1260地號,,24.235777,120.692676,1,0,0,29.23,農業區,09,,,,,,0,N,0,N,其他,99,,,,,,,0.0,2,0,0,Y,N,,,,0.0,1.8,0.1,0.0,,2020-02-21 00:00:00+00:00,,,
