date,股價,開盤價,收盤價,最高價,最低價,成交張數,成交筆數,成交金額,成交均張,漲跌幅,買進_外陸資買進股數(不含外資自營商),賣出_外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),買進_投信買進股數,賣出_投信賣出股數,投信買賣超股數,買進_自營商買進股數(自行買賣+避險),賣出_自營商賣出股數(自行買賣+避險),自營商買賣超股數,三大法人買進股數,三大法人賣出股數,三大法人買賣超股數,累計_買進_外陸資買進股數(不含外資自營商),累計_賣出_外陸資賣出股數(不含外資自營商),累計_外陸資買賣超股數(不含外資自營商),累計_買進_投信買進股數,累計_賣出_投信賣出股數,累計_投信買賣超股數,累計_買進_自營商買進股數(自行買賣+避險),累計_賣出_自營商賣出股數(自行買賣+避險),累計_自營商買賣超股數,累計_三大法人買進股數,累計_三大法人賣出股數,累計_三大法人買賣超股數,融資_融資買進(張),融資_融資賣出(張),融資_融資現金償還(張),融資_增減(張),融資_融資今日餘額(張),融券_融券買進(張),融券_融券賣出(張),融券_融券償還(張),融券_增減(張),融券_融券今日餘額(張),資券互抵(張),累計_融資_融資買進(張),累計_融資_融資賣出(張),累計_融資_增減(張),累計_融券_融券買進(張),累計_融券_融券賣出(張),累計_融券_增減(張),借券賣出_當日賣出,借券賣出_當日還券,借券賣出_當日調整,借券賣出_增減,借券賣出_當日餘額,借券賣出_次一營業日可限額,累計_借券賣出_當日賣出,累計_借券賣出_當日還券,累計_借券賣出_增減,1-999(股),"1,000-5,000(股)","5,001-10,000(股)","10,001-15,000(股)","15,001-20,000(股)","20,001-30,000(股)","30,001-40,000(股)","40,001-50,000(股)","50,001-100,000(股)","100,001-200,000(股)","200,001-400,000(股)","400,001-600,000(股)","600,001-800,000(股)","800,001-1,000,000(股)","1,000,001(股)以上",Label
2017-01-03,11.4,11.4,11.4,11.4,11.3,10177.0,1753.0,115653736.0,5.81,0.0,5729000.0,5682000.0,47000.0,0.0,0.0,0.0,500000.0,29000.0,471000.0,6229000.0,5711000.0,518000.0,5729000.0,5682000.0,47000.0,0.0,0.0,0.0,500000.0,29000.0,471000.0,6229000.0,5711000.0,518000.0,593.0,289.0,265.0,39.0,75544.0,27.0,0.0,0.0,-27.0,1987.0,40.0,593.0,289.0,39.0,27.0,0.0,-27.0,1591000.0,0.0,0.0,1591000.0,530176358.0,3448917.0,1591000.0,0.0,1591000.0,,,,,,,,,,,,,,,,0.0
2017-01-04,11.35,11.4,11.35,11.4,11.35,11119.0,2773.0,126388748.0,4.01,-0.05,6371000.0,6058395.0,312605.0,0.0,0.0,0.0,4020.0,45000.0,-40980.0,6375020.0,6103395.0,271625.0,12100000.0,11740395.0,359605.0,0.0,0.0,0.0,504020.0,74000.0,430020.0,12604020.0,11814395.0,789625.0,125.0,219.0,48.0,-142.0,75402.0,0.0,0.0,0.0,0.0,1987.0,0.0,718.0,508.0,-103.0,27.0,0.0,-27.0,2483000.0,0.0,0.0,2483000.0,532659358.0,3400814.0,4074000.0,0.0,4074000.0,,,,,,,,,,,,,,,,0.0
2017-01-05,11.4,11.35,11.4,11.45,11.3,20844.0,4089.0,237518324.0,5.1,0.05,10184743.0,10287559.0,-102816.0,17000.0,0.0,17000.0,915000.0,238000.0,677000.0,11116743.0,10525559.0,591184.0,22284743.0,22027954.0,256789.0,17000.0,0.0,17000.0,1419020.0,312000.0,1107020.0,23720763.0,22339954.0,1380809.0,630.0,419.0,21.0,190.0,75592.0,17.0,146.0,0.0,129.0,2116.0,0.0,1348.0,927.0,87.0,44.0,146.0,102.0,2135000.0,1100000.0,0.0,1035000.0,533694358.0,3486784.0,6209000.0,1100000.0,5109000.0,,,,,,,,,,,,,,,,0.0
2017-01-06,11.6,11.4,11.6,11.65,11.4,37951.0,7806.0,437951865.0,4.86,0.2,15572000.0,8003394.0,7568606.0,16000.0,0.0,16000.0,1817000.0,293000.0,1524000.0,17405000.0,8296394.0,9108606.0,37856743.0,30031348.0,7825395.0,33000.0,0.0,33000.0,3236020.0,605000.0,2631020.0,41125763.0,30636348.0,10489415.0,3521.0,3961.0,207.0,-647.0,74945.0,4.0,65.0,0.0,61.0,2177.0,452.0,4869.0,4888.0,-560.0,48.0,211.0,163.0,3486000.0,78000.0,0.0,3408000.0,537102358.0,3683374.0,9695000.0,1178000.0,8517000.0,0.49,4.48,3.95,2.43,2.13,2.75,1.76,1.57,4.07,3.41,2.86,1.52,0.82,0.76,66.93,0.0
2017-01-09,11.6,11.6,11.6,11.75,11.55,30051.0,5869.0,350356384.0,5.12,0.0,9013000.0,12470000.0,-3457000.0,0.0,0.0,0.0,332000.0,70000.0,262000.0,9345000.0,12540000.0,-3195000.0,46869743.0,42501348.0,4368395.0,33000.0,0.0,33000.0,3568020.0,675000.0,2893020.0,50470763.0,43176348.0,7294415.0,1772.0,2617.0,0.0,-845.0,74100.0,33.0,19.0,0.0,-14.0,2163.0,229.0,6641.0,7505.0,-1405.0,81.0,230.0,149.0,1721000.0,0.0,0.0,1721000.0,538823358.0,3841037.0,11416000.0,1178000.0,10238000.0,0.49,4.48,3.95,2.43,2.13,2.75,1.76,1.57,4.07,3.41,2.86,1.52,0.82,0.76,66.93,0.0
2017-01-10,11.65,11.6,11.65,11.65,11.55,19440.0,4926.0,225608115.0,3.95,0.05,7110000.0,9194358.0,-2084358.0,0.0,0.0,0.0,25306.0,333000.0,-307694.0,7135306.0,9527358.0,-2392052.0,53979743.0,51695706.0,2284037.0,33000.0,0.0,33000.0,3593326.0,1008000.0,2585326.0,57606069.0,52703706.0,4902363.0,1087.0,954.0,110.0,23.0,74123.0,1.0,22.0,0.0,21.0,2184.0,55.0,7728.0,8459.0,-1382.0,82.0,252.0,170.0,154000.0,0.0,0.0,154000.0,538977358.0,3887547.0,11570000.0,1178000.0,10392000.0,0.49,4.48,3.95,2.43,2.13,2.75,1.76,1.57,4.07,3.41,2.86,1.52,0.82,0.76,66.93,0.0
2017-01-11,11.65,11.65,11.65,11.7,11.6,13494.0,3560.0,157026404.0,3.79,0.0,4919800.0,5072000.0,-152200.0,0.0,0.0,0.0,1000.0,18000.0,-17000.0,4920800.0,5090000.0,-169200.0,58899543.0,56767706.0,2131837.0,33000.0,0.0,33000.0,3594326.0,1026000.0,2568326.0,62526869.0,57793706.0,4733163.0,601.0,985.0,241.0,-625.0,73498.0,4.0,28.0,0.0,24.0,2208.0,12.0,8329.0,9444.0,-2007.0,86.0,280.0,194.0,921000.0,23244000.0,0.0,-22323000.0,516654358.0,3872669.0,12491000.0,24422000.0,-11931000.0,0.49,4.48,3.95,2.43,2.13,2.75,1.76,1.57,4.07,3.41,2.86,1.52,0.82,0.76,66.93,0.0
2017-01-12,11.8,11.7,11.8,11.8,11.65,27694.0,6973.0,325312266.0,3.97,0.15,15690595.0,3063000.0,12627595.0,0.0,0.0,0.0,0.0,30000.0,-30000.0,15690595.0,3093000.0,12597595.0,74590138.0,59830706.0,14759432.0,33000.0,0.0,33000.0,3594326.0,1056000.0,2538326.0,78217464.0,60886706.0,17330758.0,1493.0,2935.0,18.0,-1460.0,72038.0,0.0,72.0,0.0,72.0,2280.0,1071.0,9822.0,12379.0,-3467.0,86.0,352.0,266.0,685000.0,346000.0,0.0,339000.0,516993358.0,3513406.0,13176000.0,24768000.0,-11592000.0,0.49,4.48,3.95,2.43,2.13,2.75,1.76,1.57,4.07,3.41,2.86,1.52,0.82,0.76,66.93,0.0
2017-01-13,11.8,11.75,11.8,11.8,11.65,22218.0,4435.0,261001574.0,5.01,0.0,12061491.0,8616000.0,3445491.0,0.0,0.0,0.0,215000.0,96000.0,119000.0,12276491.0,8712000.0,3564491.0,86651629.0,68446706.0,18204923.0,33000.0,0.0,33000.0,3809326.0,1152000.0,2657326.0,90493955.0,69598706.0,20895249.0,462.0,1039.0,8.0,-585.0,71453.0,321.0,246.0,0.0,-75.0,2205.0,49.0,10284.0,13418.0,-4052.0,407.0,598.0,191.0,986000.0,0.0,0.0,986000.0,517979358.0,3515949.0,14162000.0,24768000.0,-10606000.0,0.49,4.47,3.93,2.41,2.11,2.73,1.75,1.55,4.05,3.34,2.85,1.48,0.8,0.76,67.21,0.0
2017-01-16,11.65,11.7,11.65,11.75,11.65,9080.0,3262.0,106088799.0,2.78,-0.15,943000.0,4640000.0,-3697000.0,0.0,0.0,0.0,48000.0,0.0,48000.0,991000.0,4640000.0,-3649000.0,87594629.0,73086706.0,14507923.0,33000.0,0.0,33000.0,3857326.0,1152000.0,2705326.0,91484955.0,74238706.0,17246249.0,885.0,508.0,20.0,357.0,71810.0,218.0,21.0,0.0,-197.0,2008.0,6.0,11169.0,13926.0,-3695.0,625.0,619.0,-6.0,230000.0,0.0,0.0,230000.0,518209358.0,3460201.0,14392000.0,24768000.0,-10376000.0,0.49,4.47,3.93,2.41,2.11,2.73,1.75,1.55,4.05,3.34,2.85,1.48,0.8,0.76,67.21,0.0
