date,股價,開盤價,收盤價,最高價,最低價,成交張數,成交筆數,成交金額,成交均張,漲跌幅,買進_外陸資買進股數(不含外資自營商),賣出_外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),買進_投信買進股數,賣出_投信賣出股數,投信買賣超股數,買進_自營商買進股數(自行買賣+避險),賣出_自營商賣出股數(自行買賣+避險),自營商買賣超股數,三大法人買進股數,三大法人賣出股數,三大法人買賣超股數,累計_買進_外陸資買進股數(不含外資自營商),累計_賣出_外陸資賣出股數(不含外資自營商),累計_外陸資買賣超股數(不含外資自營商),累計_買進_投信買進股數,累計_賣出_投信賣出股數,累計_投信買賣超股數,累計_買進_自營商買進股數(自行買賣+避險),累計_賣出_自營商賣出股數(自行買賣+避險),累計_自營商買賣超股數,累計_三大法人買進股數,累計_三大法人賣出股數,累計_三大法人買賣超股數,融資_融資買進(張),融資_融資賣出(張),融資_融資現金償還(張),融資_增減(張),融資_融資今日餘額(張),融券_融券買進(張),融券_融券賣出(張),融券_融券償還(張),融券_增減(張),融券_融券今日餘額(張),資券互抵(張),累計_融資_融資買進(張),累計_融資_融資賣出(張),累計_融資_增減(張),累計_融券_融券買進(張),累計_融券_融券賣出(張),累計_融券_增減(張),借券賣出_當日賣出,借券賣出_當日還券,借券賣出_當日調整,借券賣出_增減,借券賣出_當日餘額,借券賣出_次一營業日可限額,累計_借券賣出_當日賣出,累計_借券賣出_當日還券,累計_借券賣出_增減,1-999(股),"1,000-5,000(股)","5,001-10,000(股)","10,001-15,000(股)","15,001-20,000(股)","20,001-30,000(股)","30,001-40,000(股)","40,001-50,000(股)","50,001-100,000(股)","100,001-200,000(股)","200,001-400,000(股)","400,001-600,000(股)","600,001-800,000(股)","800,001-1,000,000(股)","1,000,001(股)以上"
2018-01-02,82.6,82.15,82.6,82.6,82.15,3613.0,1795.0,298033251.0,2.01,0.45,1646000.0,0.0,1646000.0,333000.0,0.0,333000.0,338000.0,12000.0,326000.0,2317000.0,12000.0,2305000.0,1646000.0,0.0,1646000.0,333000.0,0.0,333000.0,338000.0,12000.0,326000.0,2317000.0,12000.0,2305000.0,7.0,177.0,0.0,-170.0,964.0,6.0,24.0,0.0,18.0,275.0,5.0,7.0,177.0,-170.0,6.0,24.0,18.0,0.0,112000.0,0.0,-112000.0,4254000.0,1101227.0,0.0,112000.0,-112000.0,,,,,,,,,,,,,,,
2018-01-03,83.35,82.95,83.35,83.45,82.95,7196.0,3014.0,599476413.0,2.39,0.75,2154000.0,1000.0,2153000.0,0.0,0.0,0.0,3821000.0,287000.0,3534000.0,5975000.0,288000.0,5687000.0,3800000.0,1000.0,3799000.0,333000.0,0.0,333000.0,4159000.0,299000.0,3860000.0,8292000.0,300000.0,7992000.0,13.0,250.0,0.0,-237.0,727.0,8.0,4.0,0.0,-4.0,271.0,0.0,20.0,427.0,-407.0,14.0,28.0,14.0,0.0,643000.0,0.0,-643000.0,3611000.0,1128494.0,0.0,755000.0,-755000.0,,,,,,,,,,,,,,,
2018-01-04,83.5,83.5,83.5,83.65,83.2,5627.0,2278.0,469312820.0,2.47,0.15,1631000.0,13000.0,1618000.0,0.0,200000.0,-200000.0,2721000.0,332000.0,2389000.0,4352000.0,545000.0,3807000.0,5431000.0,14000.0,5417000.0,333000.0,200000.0,133000.0,6880000.0,631000.0,6249000.0,12644000.0,845000.0,11799000.0,19.0,146.0,0.0,-127.0,600.0,8.0,1.0,0.0,-7.0,264.0,0.0,39.0,573.0,-534.0,22.0,29.0,7.0,0.0,0.0,0.0,0.0,3611000.0,1135633.0,0.0,755000.0,-755000.0,,,,,,,,,,,,,,,
2018-01-05,83.75,83.5,83.75,83.8,83.3,7616.0,2562.0,636768692.0,2.97,0.25,5761000.0,12000.0,5749000.0,0.0,0.0,0.0,1235000.0,687000.0,548000.0,6996000.0,699000.0,6297000.0,11192000.0,26000.0,11166000.0,333000.0,200000.0,133000.0,8115000.0,1318000.0,6797000.0,19640000.0,1544000.0,18096000.0,16.0,144.0,0.0,-128.0,472.0,1.0,1.0,0.0,0.0,264.0,0.0,55.0,717.0,-662.0,23.0,30.0,7.0,0.0,1105000.0,0.0,-1105000.0,2506000.0,1196280.0,0.0,1860000.0,-1860000.0,0.51,10.61,4.86,2.18,1.98,2.34,1.32,1.12,3.05,2.12,2.68,1.69,1.28,0.55,63.63
2018-01-08,84.1,83.8,84.1,84.15,83.7,5189.0,2282.0,435775639.0,2.27,0.35,3723000.0,202000.0,3521000.0,0.0,0.0,0.0,188000.0,361000.0,-173000.0,3911000.0,563000.0,3348000.0,14915000.0,228000.0,14687000.0,333000.0,200000.0,133000.0,8303000.0,1679000.0,6624000.0,23551000.0,2107000.0,21444000.0,3.0,79.0,0.0,-76.0,396.0,11.0,2.0,0.0,-9.0,255.0,0.0,58.0,796.0,-738.0,34.0,32.0,-2.0,0.0,0.0,0.0,0.0,2506000.0,1237491.0,0.0,1860000.0,-1860000.0,0.51,10.61,4.86,2.18,1.98,2.34,1.32,1.12,3.05,2.12,2.68,1.69,1.28,0.55,63.63
2018-01-09,84.15,84.1,84.15,84.25,83.9,3664.0,1340.0,308057554.0,2.73,0.05,1823000.0,8000.0,1815000.0,0.0,0.0,0.0,468000.0,1287000.0,-819000.0,2291000.0,1295000.0,996000.0,16738000.0,236000.0,16502000.0,333000.0,200000.0,133000.0,8771000.0,2966000.0,5805000.0,25842000.0,3402000.0,22440000.0,0.0,25.0,0.0,-25.0,371.0,5.0,1.0,0.0,-4.0,251.0,0.0,58.0,821.0,-763.0,39.0,33.0,-6.0,0.0,0.0,0.0,0.0,2506000.0,1252865.0,0.0,1860000.0,-1860000.0,0.51,10.61,4.86,2.18,1.98,2.34,1.32,1.12,3.05,2.12,2.68,1.69,1.28,0.55,63.63
2018-01-10,83.75,84.1,83.75,84.25,83.55,5749.0,1073.0,482358793.0,5.36,-0.4,322000.0,20000.0,302000.0,0.0,0.0,0.0,890000.0,3051000.0,-2161000.0,1212000.0,3071000.0,-1859000.0,17060000.0,256000.0,16804000.0,333000.0,200000.0,133000.0,9661000.0,6017000.0,3644000.0,27054000.0,6473000.0,20581000.0,32.0,19.0,2.0,11.0,382.0,7.0,0.0,0.0,-7.0,244.0,0.0,90.0,840.0,-752.0,46.0,33.0,-13.0,0.0,23000.0,0.0,-23000.0,2483000.0,1290290.0,0.0,1883000.0,-1883000.0,0.51,10.61,4.86,2.18,1.98,2.34,1.32,1.12,3.05,2.12,2.68,1.69,1.28,0.55,63.63
2018-01-11,83.4,83.65,83.4,83.7,83.1,2579.0,735.0,214867793.0,3.51,-0.35,2000.0,745000.0,-743000.0,0.0,0.0,0.0,282000.0,890000.0,-608000.0,284000.0,1635000.0,-1351000.0,17062000.0,1001000.0,16061000.0,333000.0,200000.0,133000.0,9943000.0,6907000.0,3036000.0,27338000.0,8108000.0,19230000.0,21.0,30.0,0.0,-9.0,373.0,2.0,0.0,0.0,-2.0,242.0,0.0,111.0,870.0,-761.0,48.0,33.0,-15.0,0.0,0.0,0.0,0.0,2483000.0,1302264.0,0.0,1883000.0,-1883000.0,0.51,10.61,4.86,2.18,1.98,2.34,1.32,1.12,3.05,2.12,2.68,1.69,1.28,0.55,63.63
2018-01-12,84.1,83.55,84.1,84.2,83.5,2871.0,1002.0,241214778.0,2.87,0.7,810000.0,849000.0,-39000.0,0.0,0.0,0.0,1382000.0,55000.0,1327000.0,2192000.0,904000.0,1288000.0,17872000.0,1850000.0,16022000.0,333000.0,200000.0,133000.0,11325000.0,6962000.0,4363000.0,29530000.0,9012000.0,20518000.0,3.0,33.0,0.0,-30.0,343.0,2.0,0.0,0.0,-2.0,240.0,0.0,114.0,903.0,-791.0,50.0,33.0,-17.0,0.0,0.0,0.0,0.0,2483000.0,1250590.0,0.0,1883000.0,-1883000.0,0.53,9.88,4.45,1.95,1.79,2.16,1.25,1.04,2.91,2.16,2.57,1.7,1.3,0.37,65.85
2018-01-15,84.65,84.55,84.65,84.7,84.4,2819.0,1126.0,238493616.0,2.5,0.55,788000.0,707717.0,80283.0,0.0,0.0,0.0,1313000.0,84000.0,1229000.0,2101000.0,791717.0,1309283.0,18660000.0,2557717.0,16102283.0,333000.0,200000.0,133000.0,12638000.0,7046000.0,5592000.0,31631000.0,9803717.0,21827283.0,2.0,75.0,0.0,-73.0,270.0,10.0,0.0,0.0,-10.0,230.0,0.0,116.0,978.0,-864.0,60.0,33.0,-27.0,0.0,0.0,0.0,0.0,2483000.0,1222586.0,0.0,1883000.0,-1883000.0,0.53,9.88,4.45,1.95,1.79,2.16,1.25,1.04,2.91,2.16,2.57,1.7,1.3,0.37,65.85
